date,date_pretty,day_description,morning_prayers_together,evening_prayers_together
2022/01/28,"Friday, January 28, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 65; Genesis 16; Matthew 26:57–end,Psalm 67; Hosea 6:7–7:2; 1 Corinthians 11:17–end
2022/01/29,"Saturday, January 29, 2022",Week of 3rd Sunday after the Ephiphany,Psalm 68; Genesis 17:1–22; Matthew 27:1–10,Psalm 72; Hosea 8; 1 Corinthians 12:1–11
2022/01/30,"Sunday, January 30, 2022",4th Sunday after the Ephiphany,"Psalm 71:1-6,15-17; Micah 6:1-8; 1 Corinthians 6:12-20",Psalm 34; 1 Chronicles on 29:6-19; Acts 7:44-50
2022/01/31,"Monday, January 31, 2022",Week of 4th Sunday after the Ephiphany,Psalm 57; Genesis 18:1–15; Matthew 27:11–26,Psalm 20; Hosea 9; 1 Corinthians 12:12–end
2022/02/01,"Tuesday, February 1, 2022",Week of 4th Sunday after the Ephiphany,Psalm 93; Genesis 18:16–end; Matthew 27:27–44,Psalm 19; Hosea 10; 1 Corinthians 13
2022/02/02,"Wednesday, February 2, 2022",Week of 4th Sunday after the Ephiphany,"Psalm 95; Genesis 19:1–3,19:12–29; Matthew 27:45–56",Psalm 81; Hosea 11:1–11; 1 Corinthians 14:1–19
2022/02/03,"Thursday, February 3, 2022",Week of 4th Sunday after the Ephiphany,Psalm 110; Genesis 21:1–21; Matthew 27:57–end,Psalm 86; Hosea 11:12–end; Hosea 12; 1 Corinthians 14:20–end
2022/02/04,"Friday, February 4, 2022",Week of 4th Sunday after the Ephiphany,Psalm 115; Genesis 22:1–19; Matthew 28:1–15,Psalm 147; Hosea 13:1–14; 1 Corinthians 16:1–9
2022/02/05,"Saturday, February 5, 2022",Week of 4th Sunday after the Ephiphany,Psalm 118; Genesis 23; Matthew 28:16–end,Psalm 150; Hosea 14; 1 Corinthians 16:10-end
2022/02/06,"Sunday, February 6, 2022",,"Psalm 3,4; Jeremiah 26:1-16; Acts 3:1-10",Psalm 2; Hosea 1; Colossians 3:1-22
