date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/07/19,"Saturday, July 19, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 97; Job 42; Romans 16:17–end,"Psalm 104; Judges 18:1–20,18:27–end; Luke 19:11–27"
2025/07/20,"Sunday, July 20, 2025",16th Sunday in Ordinary Time,,Psalm 15; Genesis 18:1-10a; Colossians 1:15-28; Luke 10:38-42,Psalm 52; Amos 8:1-12; Colossians 1:15-28; Luke 10:38-42,"Psalm 82,100; Deuteronomy 30:1-10; 1 Peter 3:8-18","Psalm 81; Genesis 41:1-16,25-37; 1 Corinthians 4:8-13"
2025/07/21,"Monday, July 21, 2025",Week of 16th Sunday in Ordinary Time,Eve of St Mary Magdalene,,,Psalm 98; Ezekiel 1:1–14; 2 Corinthians 1:1–14,Psalm 139; Isaiah 25:1-9; 2 Corinthians 1:3-7
2025/07/22,"Tuesday, July 22, 2025",St Mary Magdalene,,,,"Psalm 30,32,150; 1 Samuel 16:14-23; Luke 8:1-3","Psalm 63; Zephaniah 3:14-20; Mark 15:40-end,16:1-7"
2025/07/23,"Wednesday, July 23, 2025",Week of 16th Sunday in Ordinary Time,,,,Psalm 111; Ezekiel 2:3–3:11; 2 Corinthians 2:5–end,Psalm 119:129-152; 1 Samuel 2:12–26; Luke 20:1–8
2025/07/24,"Thursday, July 24, 2025",Week of 16th Sunday in Ordinary Time,Eve of St James,,,Psalm 115; Ezekiel 3:12–end; 2 Corinthians 3,Psalm 144; Deuteronomy 30:11-20; Mark 5:21-43
2025/07/25,"Friday, July 25, 2025",St James the Apostle,,,,"Psalm 7,29,117; 2 Kings 1:9-15; Luke 9:46-56",Psalm 94; Jeremiah 26:1-15; Mark 1:14-20
2025/07/26,"Saturday, July 26, 2025",Week of 16th Sunday in Ordinary Time,,,,Psalm 121; Ezekiel 9; 2 Corinthians 5,Psalm 118; 1 Samuel 4:1b–end; Luke 20:27–40
2025/07/27,"Sunday, July 27, 2025",17th Sunday in Ordinary Time,,"Psalm 138; Genesis 18:20-32; Colossians 2:6-15,(16-19); Luke 11:1-13","Psalm 85*; Hosea 1:2-10; Colossians 2:6-15,(16-19); Luke 11:1-13",Psalm 95; Song of Solomon 2; 1 Peter 4:7-14,Psalm 88*; Genesis 42:1-25; 1 Corinthians 10:1-24
2025/07/28,"Monday, July 28, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 126; Ezekiel 10:1–19; 2 Corinthians 6:1–7:1,Psalm 127; 1 Samuel 5; Luke 20:41–21:4
2025/07/29,"Tuesday, July 29, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 132; Ezekiel 11:14–end; 2 Corinthians 7:2–end,Psalm 135; 1 Samuel 6:1–16; Luke 21:5–19
2025/07/30,"Wednesday, July 30, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 119:153-end; Ezekiel 12:1–16; 2 Corinthians 8:1–15,Psalm 136; 1 Samuel 7; Luke 21:20–28
2025/07/31,"Thursday, July 31, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 143; Ezekiel 12:17–end; 2 Corinthians 8:16–9:5,Psalm 138; 1 Samuel 8; Luke 21:29–end
2025/08/01,"Friday, August 1, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 144; Ezekiel 13:1–16; 2 Corinthians 9:6–end,Psalm 145; 1 Samuel 9:1–14; Luke 22:1–13
2025/08/02,"Saturday, August 2, 2025",Week of 17th Sunday in Ordinary Time,,,,Psalm 147; Ezekiel 14:1–11; 2 Corinthians 10,Psalm 148; 1 Samuel 9:15–10:1; Luke 22:14–23
2025/08/03,"Sunday, August 3, 2025",18th Sunday in Ordinary Time,,"Psalm 49:1-12*; Ecclesiastes 1:2,12-14,2:18-23; Colossians 3:1-11; Luke 12:13-21","Psalm 107:1-9,43*; Hosea 11:1-11; Colossians 3:1-11; Luke 12:13-21",Psalm 106:1-10; Song of Solomon 5:2-16; 2 Peter 1:1-15,Psalm 107:1-32*; Genesis 50:4-26; 1 Corinthians 14:1-19
