date,date_pretty,day_description,morning_prayers_together,evening_prayers_together
2022/09/08,"Thursday, September 8, 2022",Week of 23rd Sunday in Ordinary Time,Psalm 115; 2 Samuel 15:13–end; Acts 9:32–end,Psalm 116; Habakkuk 1:12–2:5; Mark 7:24–30
2022/09/09,"Friday, September 9, 2022",Week of 23rd Sunday in Ordinary Time,Psalm 139; 2 Samuel 16:1–14; Acts 10:1–16,Psalm 130; Habakkuk 2:6–end; Mark 7:31–end
2022/09/10,"Saturday, September 10, 2022",Week of 23rd Sunday in Ordinary Time,Psalm 121; 2 Samuel 17:1–23; Acts 10:17–33,Psalm 118; Habakkuk 3:2–19a; Mark 8:1–10
2022/09/11,"Sunday, September 11, 2022",24th Sunday in Ordinary Time,"Psalm 126,127; Isaiah 44:24–end,45:1-8; Revelation 12:1-12","Psalm 124,125; Isaiah 60; John 6:51-69"
2022/09/12,"Monday, September 12, 2022",Week of 24th Sunday in Ordinary Time,Psalm 126; 2 Samuel 18:1–18; Acts 10:34–end,Psalm 127; Haggai 1:1–11; Mark 8:11–21
2022/09/13,"Tuesday, September 13, 2022",Week of 24th Sunday in Ordinary Time,Psalm 132; 2 Samuel 18:19–19:8a; Acts 11:1–18,Psalm 66; Isaiah 52:13-53:12; Ephesians 2:11-22
2022/09/14,"Wednesday, September 14, 2022",Holy Cross Day,"Psalm 2,8,146; Genesis 3:1-15; John 12:27-36a","Psalm 110,150; Isaiah 63:1-16; 1 Corinthians 1:18-25"
2022/09/15,"Thursday, September 15, 2022",Week of 24th Sunday in Ordinary Time,Psalm 143; 2 Samuel 19:24–end; Acts 12:1–17,Psalm 138; Zechariah 1:1–17; Mark 9:2–13
2022/09/16,"Friday, September 16, 2022",Week of 24th Sunday in Ordinary Time,Psalm 144; 2 Samuel 23:1–7; Acts 12:18–end,Psalm 145; Zechariah 1:18–end; Zechariah 2; Mark 9:14–29
2022/09/17,"Saturday, September 17, 2022",Week of 24th Sunday in Ordinary Time,Psalm 147; 2 Samuel 24; Acts 13:1–12,Psalm 148; Zechariah 3; Mark 9:30–37
2022/09/18,"Sunday, September 18, 2022",25th Sunday in Ordinary Time,"Psalm 130,131; Isaiah 45:9-22; Revelation 14:1-5",Psalm 129; Ezra 1; John 7:14-36
2022/09/19,"Monday, September 19, 2022",Week of 25th Sunday in Ordinary Time,Psalm 1; 1 Kings 1:5–31; Acts 13:13–43,Psalm 4; Zechariah 4; Mark 9:38–end
2022/09/20,"Tuesday, September 20, 2022",Week of 25th Sunday in Ordinary Time,Psalm 5; 1 Kings 1:32–2:4; 1 Kings 2:10–12; Acts 13:44–14:7,Psalm 34; Isaiah 33:13-17; Matthew 6:19-34
2022/09/21,"Wednesday, September 21, 2022","St Matthew, Apostle and Evangelist","Psalm 49,117; 1 Kings 19:15-21; 2 Timothy 3:14-17","Psalm 119:33-40,119:89-96; Ecclesiastes 5:4-12; Matthew 19:16-30"
2022/09/22,"Thursday, September 22, 2022",Week of 25th Sunday in Ordinary Time,Psalm 15; 1 Kings 4:29–5:12; Acts 15:1–21,Psalm 18*; Zechariah 8:1–8; Mark 10:32–34
2022/09/23,"Friday, September 23, 2022",Week of 25th Sunday in Ordinary Time,"Psalm 19; 1 Kings 6:1,6:11–28; Acts 15:22–35",Psalm 22; Zechariah 8:9–end; Mark 10:35–45
2022/09/24,"Saturday, September 24, 2022",Week of 25th Sunday in Ordinary Time,Psalm 23; 1 Kings 8:1–30; Acts 15:36–16:5,Psalm 24; Zechariah 9:1–12; Mark 10:46–end
2022/09/25,"Sunday, September 25, 2022",26th Sunday in Ordinary Time,Psalm 132; Isaiah 48:12-22; Luke 1:37-54,"Psalm 134,135; Nehemiah 2; John 8:31-38,48-59"
2022/09/26,"Monday, September 26, 2022",Week of 26th Sunday in Ordinary Time,Psalm 30; 1 Kings 8:31–62; Acts 16:6–24,Psalm 28; Zechariah 10; Mark 11:1–11
2022/09/27,"Tuesday, September 27, 2022",Week of 26th Sunday in Ordinary Time,Psalm 36; 1 Kings 8:63–9:9; Acts 16:25–end,Psalm 33; Zechariah 11:4–end; Mark 11:12–26
2022/09/28,"Wednesday, September 28, 2022",Week of 26th Sunday in Ordinary Time,Psalm 34; 1 Kings 10:1–25; Acts 17:1–15,"Psalm 91; 2 Kings 6:8-17; Matthew 18:1-6,10"
2022/09/29,"Thursday, September 29, 2022",St Michael and All Angels / Michaelmas,"Psalm 34,150; Daniel 12:1-4; Acts 12:1-11","Psalm 138,148; Daniel 10:4-21; Revelations 5"
2022/09/30,"Friday, September 30, 2022",Week of 26th Sunday in Ordinary Time,Psalm 31; 1 Kings 11:26–end; Acts 18:1–21,Psalm 35; Zechariah 14:1–11; Mark 12:13–17
2022/10/01,"Saturday, October 1, 2022",Week of 26th Sunday in Ordinary Time,Psalm 42; 1 Kings 12:1–24; Acts 18:22–19:7,Psalm 46; Zechariah 14:12–end; Mark 12:18–27
2022/10/02,"Sunday, October 2, 2022",27th Sunday in Ordinary Time,Psalm 141; Isaiah 49:13-23; Luke 12:1-12,Psalm 142; Nehemiah 5:1-13; John 9
2022/10/03,"Monday, October 3, 2022",Week of 27th Sunday in Ordinary Time,Psalm 44; 1 Kings 12:25–13:10; Acts 19:8–20,Psalm 47; Ezekiel 1:1–14; Mark 12:28–34
2022/10/04,"Tuesday, October 4, 2022",Week of 27th Sunday in Ordinary Time,Psalm 48; 1 Kings 13:11–end; Acts 19:21–end,Psalm 50; Ezekiel 1:15–2:2; Mark 12:35–end
2022/10/05,"Wednesday, October 5, 2022",Week of 27th Sunday in Ordinary Time,Psalm 119:57-80; 1 Kings 17; Acts 20:1–16,Psalm 59; Ezekiel 2:3–3:11; Mark 13:1–13
2022/10/06,"Thursday, October 6, 2022",Week of 27th Sunday in Ordinary Time,Psalm 57; 1 Kings 18:1–20; Acts 20:17–end,Psalm 62; Ezekiel 3:12–end; Mark 13:14–23
2022/10/07,"Friday, October 7, 2022",Week of 27th Sunday in Ordinary Time,Psalm 51; 1 Kings 18:21–end; Acts 21:1–16,Psalm 38; Ezekiel 8; Mark 13:24–31
2022/10/08,"Saturday, October 8, 2022",Week of 27th Sunday in Ordinary Time,Psalm 68; 1 Kings 19; Acts 21:17–36,Psalm 66; Ezekiel 9; Mark 13:32–end
2022/10/09,"Sunday, October 9, 2022",28th Sunday in Ordinary Time,Psalm 143; Isaiah 50:4-10; Luke 13:22-30,Psalm 144; Nehemiah 6:1-16; John 15:12-27
2022/10/10,"Monday, October 10, 2022",Week of 28th Sunday in Ordinary Time,Psalm 71; 1 Kings 21; Acts 21:37–22:21,Psalm 72; Ezekiel 10:1–19; Mark 14:1–11
2022/10/11,"Tuesday, October 11, 2022",Week of 28th Sunday in Ordinary Time,Psalm 73; 1 Kings 22:1–28; Acts 22:22–23:11,Psalm 74; Ezekiel 11:14–end; Mark 14:12–25
2022/10/12,"Wednesday, October 12, 2022",Week of 28th Sunday in Ordinary Time,Psalm 77; 1 Kings 22:29–45; Acts 23:12–end,Psalm 119:81-104; Ezekiel 12:1–16; Mark 14:26–42
2022/10/13,"Thursday, October 13, 2022",Week of 28th Sunday in Ordinary Time,Psalm 78:1-39*; 2 Kings 1:2–17; Acts 24:1–23,Psalm 78:40-end; Ezekiel 12:17–end; Mark 14:43–52
2022/10/14,"Friday, October 14, 2022",Week of 28th Sunday in Ordinary Time,Psalm 55; 2 Kings 2:1–18; Acts 24:24–25:12,Psalm 69; Ezekiel 13:1–16; Mark 14:53–65
2022/10/15,"Saturday, October 15, 2022",Week of 28th Sunday in Ordinary Time,Psalm 76; 2 Kings 4:1–37; Acts 25:13–end,Psalm 84; Ezekiel 14:1–11; Mark 14:66–end
2022/10/16,"Sunday, October 16, 2022",29th Sunday in Ordinary Time,Psalm 147; Isaiah 54:1-14; Luke 13:31-35,Psalm 149; Nehemiah 8:9-18; John 16:1-11
2022/10/17,"Monday, October 17, 2022",Week of 29th Sunday in Ordinary Time,Psalm 80; 2 Kings 5; Acts 26:1–23,Psalm 33; Hosea 6:1-3; 2 Timothy 3:10-17
2022/10/18,"Tuesday, October 18, 2022",St Luke the Evangelist,"Psalm 145,146; Isaiah 55; Luke 1:1-4",Psalm 103; Isaiah 61:1-6; Colossians 4:7-18
2022/10/19,"Wednesday, October 19, 2022",Week of 29th Sunday in Ordinary Time,Psalm 119:105-128; 2 Kings 9:1–16; Acts 27:1–26,Psalm 91; Ezekiel 18:21–32; Mark 15:33–41
2022/10/20,"Thursday, October 20, 2022",Week of 29th Sunday in Ordinary Time,Psalm 92; 2 Kings 9:17–end; Acts 27:27–end,Psalm 94; Ezekiel 20:1–20; Mark 15:42–end
2022/10/21,"Friday, October 21, 2022",Week of 29th Sunday in Ordinary Time,Psalm 88; 2 Kings 12:1–19; Acts 28:1–16,Psalm 102; Ezekiel 20:21–38; Mark 16:1–8
2022/10/22,"Saturday, October 22, 2022",Week of 29th Sunday in Ordinary Time,Psalm 97; 2 Kings 17:1–23; Acts 28:17–end,Psalm 104; Ezekiel 24:15–end; Mark 16:9–end
2022/10/23,"Sunday, October 23, 2022",30th Sunday in Ordinary Time,Psalm 119:105-128; Isaiah 59:9-20; Luke 14:1-14,"Psalm 119:1-16; Ecclesiastes 11,12; 2 Timothy 2:1-7"
2022/10/24,"Monday, October 24, 2022",Week of 30th Sunday in Ordinary Time,Psalm 98; 2 Kings 17:24–end; Philippians 1:1–11,Psalm 105*; Ezekiel 28:1–19; John 13:1–11
2022/10/25,"Tuesday, October 25, 2022",Week of 30th Sunday in Ordinary Time,Psalm 106*; 2 Kings 18:1–12; Philippians 1:12–end,Psalm 107*; Ezekiel 33:1–20; John 13:12–20
2022/10/26,"Wednesday, October 26, 2022",Week of 30th Sunday in Ordinary Time,Psalm 111; 2 Kings 18:13–end; Philippians 2:1–13,Psalm 119:129-152; Ezekiel 33:21–end; John 13:21–30
2022/10/27,"Thursday, October 27, 2022",Week of 30th Sunday in Ordinary Time,Psalm 115; 2 Kings 19:1–19; Philippians 2:14–end,"Psalm 124,125,126; Deuteronomy 32:1-4; John 14:15-26"
2022/10/28,"Friday, October 28, 2022","St Simon and St Jude, Apostles","Psalm 116,117; Isaiah 45:18-26; Luke 6:12-16","Psalm 119:1-16; Jeremiah 3:11-18; Jude 1-4,17-25"
2022/10/29,"Saturday, October 29, 2022",Week of 30th Sunday in Ordinary Time,Psalm 121; 2 Kings 20; Philippians 4:2–end,Psalm 118; Ezekiel 36:16–36; John 14:15–end
2022/10/30,"Sunday, October 30, 2022",31st Sunday in Ordinary Time,Psalm 87; Job 26; Colossians 1:9-14,Psalm 145; Lamentations 3:22-33; John 11:32-44
